
 num     #instances         #bytes  class name
----------------------------------------------
   1:         25031        3504312  <constMethodKlass>
   2:         53523        2843008  <symbolKlass>
   3:         25031        2003568  <methodKlass>
   4:         19021        1626568  [B
   5:          2045        1610760  <constantPoolKlass>
   6:         10784        1276192  [C
   7:          1618        1013232  <constantPoolCacheKlass>
   8:          5037         941288  [I
   9:          2045         922472  <instanceKlassKlass>
  10:         13184         421888  java.util.concurrent.ConcurrentHashMap$Segment
  11:         13184         338416  [Ljava.util.concurrent.ConcurrentHashMap$HashEntry;
  12:         13449         322776  java.util.concurrent.locks.ReentrantLock$NonfairSync
  13:         10002         320064  com.gemstone.gemfire.internal.cache.VMThinRegionEntry
  14:          3089         288336  [S
  15:         11160         267840  java.lang.String
  16:         10597         254328  java.util.concurrent.ConcurrentHashMap$HashEntry
  17:          2230         214080  java.lang.Class
  18:         10132         162112  java.lang.Integer
  19:         10000         160000  com.gemstone.gemfire.internal.cache.VMCachedDeserializable
  20:          3136         159776  [[I
  21:           843          82376  [Ljava.util.HashMap$Entry;
  22:          4733          75728  com.gemstone.gemfire.i18n.StringId
  23:           824          65920  [Ljava.util.concurrent.ConcurrentHashMap$Segment;
  24:           185          60680  <objArrayKlassKlass>
  25:          2181          52344  java.util.HashMap$Entry
  26:           645          42040  [Ljava.lang.Object;
  27:           819          32760  java.util.HashMap
  28:            89          30384  [J
  29:           838          26816  java.util.TreeMap$Entry
  30:           658          26320  com.gemstone.gemfire.internal.concurrent.ConcurrentHashMap5
  31:           693          22176  com.gemstone.gemfire.internal.StatisticDescriptorImpl
  32:            50          21600  com.gemstone.gemfire.internal.cache.BucketRegion
  33:           163          20864  com.gemstone.gemfire.internal.cache.BucketAdvisor
  34:          1614          12912  java.lang.Object
  35:           193          12352  java.lang.reflect.Constructor
  36:           341          11296  [Ljava.lang.String;
  37:           303           9696  java.lang.ref.SoftReference
  38:           278           8896  java.lang.ThreadLocal$ThreadLocalMap$Entry
  39:           357           8568  java.util.Hashtable$Entry
  40:           117           8424  java.lang.reflect.Field
  41:           163           7824  com.gemstone.gemfire.internal.cache.ProxyBucketRegion
  42:           485           7760  com.gemstone.gemfire.internal.concurrent.AtomicLong5
  43:            91           7000  [Ljava.util.Hashtable$Entry;
  44:           284           6816  java.util.concurrent.CountDownLatch$Sync
  45:           166           6640  java.util.concurrent.ConcurrentHashMap
  46:            60           5952  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
  47:           180           5760  java.util.LinkedHashMap$Entry
  48:           341           5456  java.util.HashSet
  49:           167           5344  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync
  50:            51           4896  java.io.ObjectStreamClass
  51:            25           4600  com.gemstone.gemfire.cache.AttributesFactory$RegionAttributesImpl
  52:            57           4560  java.lang.reflect.Method
  53:           284           4544  com.gemstone.gemfire.internal.concurrent.CountDownLatch5
  54:           283           4528  com.gemstone.gemfire.internal.util.concurrent.StoppableCountDownLatch
  55:           265           4240  java.lang.Long
  56:           256           4096  java.lang.Byte
  57:            50           4000  com.gemstone.gemfire.internal.cache.BucketAdvisor$ServerBucketProfile
  58:           176           3944  [Ljava.lang.Class;
  59:            35           3920  java.lang.Thread
  60:           163           3912  java.util.concurrent.locks.ReentrantReadWriteLock
  61:           163           3912  com.gemstone.gemfire.internal.cache.PartitionedRegion$BucketLock
  62:            80           3840  java.lang.Package
