
 num     #instances         #bytes  class name
----------------------------------------------
   1:         23292        3203176  <constMethodKlass>
   2:         51094        2720568  <symbolKlass>
   3:         23292        1864448  <methodKlass>
   4:          1834        1431656  <constantPoolKlass>
   5:         10183        1224736  [C
   6:          1431         895768  <constantPoolCacheKlass>
   7:          8193         894736  [B
   8:          1834         833704  <instanceKlassKlass>
   9:          3492         783520  [I
  10:          2785         270304  [S
  11:         10568         253632  java.lang.String
  12:          7552         241664  java.util.concurrent.ConcurrentHashMap$Segment
  13:          2009         192864  java.lang.Class
  14:          7660         183840  java.util.concurrent.locks.ReentrantLock$NonfairSync
  15:          2864         148536  [[I
  16:          7552         127944  [Ljava.util.concurrent.ConcurrentHashMap$HashEntry;
  17:          4733          75728  com.gemstone.gemfire.i18n.StringId
  18:           618          60600  [Ljava.util.HashMap$Entry;
  19:           175          57400  <objArrayKlassKlass>
  20:           472          37760  [Ljava.util.concurrent.ConcurrentHashMap$Segment;
  21:           527          37640  [Ljava.lang.Object;
  22:          1565          37560  java.util.HashMap$Entry
  23:           827          26464  java.util.TreeMap$Entry
  24:           593          23720  java.util.HashMap
  25:           671          21472  com.gemstone.gemfire.internal.StatisticDescriptorImpl
  26:            65          21424  [J
  27:           163          20864  com.gemstone.gemfire.internal.cache.BucketAdvisor
  28:           407          16280  com.gemstone.gemfire.internal.concurrent.ConcurrentHashMap5
  29:          1464          11712  java.lang.Object
  30:           181          11584  java.lang.reflect.Constructor
  31:           290          10464  [Ljava.lang.String;
  32:           290           9280  java.lang.ref.SoftReference
  33:           355           8520  java.util.Hashtable$Entry
  34:           353           8472  java.util.concurrent.ConcurrentHashMap$HashEntry
  35:           163           7824  com.gemstone.gemfire.internal.cache.ProxyBucketRegion
  36:            86           6720  [Ljava.util.Hashtable$Entry;
  37:           181           5792  java.util.LinkedHashMap$Entry
  38:           167           5344  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync
  39:            50           4800  java.io.ObjectStreamClass
  40:            25           4600  com.gemstone.gemfire.cache.AttributesFactory$RegionAttributesImpl
  41:           264           4224  java.lang.Long
  42:           260           4160  java.lang.Integer
  43:           256           4096  java.lang.Byte
  44:           163           3912  com.gemstone.gemfire.internal.cache.PartitionedRegion$BucketLock
  45:           163           3912  java.util.concurrent.locks.ReentrantReadWriteLock
  46:            45           3792  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
  47:           236           3776  java.util.HashSet
  48:            78           3744  java.lang.Package
  49:             7           3696  [Ljava.util.TimerTask;
  50:            29           3248  java.lang.Thread
  51:            98           3136  java.lang.ThreadLocal$ThreadLocalMap$Entry
  52:           118           3008  [Ljava.lang.Class;
  53:           184           2944  com.gemstone.gemfire.internal.concurrent.AtomicInteger5
  54:            14           2904  [Lcom.gemstone.gemfire.StatisticDescriptor;
  55:           180           2880  com.gemstone.gemfire.internal.concurrent.AtomicBoolean5
  56:            58           2784  java.util.Properties
  57:           173           2768  [Lcom.gemstone.gemfire.distributed.internal.DistributionAdvisor$Profile;
  58:           171           2736  com.gemstone.gemfire.distributed.internal.DistributionAdvisor$1
  59:           167           2672  java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock
  60:           167           2672  java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock
  61:           167           2672  java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter
