diff		class name
----------
10828		[B
10244		java.util.concurrent.ConcurrentHashMap$HashEntry
10000		com.gemstone.gemfire.internal.cache.VMThinRegionEntry
10000		com.gemstone.gemfire.internal.cache.VMCachedDeserializable
9872		java.lang.Integer
5789		java.util.concurrent.locks.ReentrantLock$NonfairSync
5632		java.util.concurrent.ConcurrentHashMap$Segment
5632		[Ljava.util.concurrent.ConcurrentHashMap$HashEntry;
2429		<symbolKlass>
1739		<constMethodKlass>
1739		<methodKlass>
1545		[I
616		java.util.HashMap$Entry
601		[C
592		java.lang.String
451		com.gemstone.gemfire.internal.concurrent.AtomicLong5
352		[Ljava.util.concurrent.ConcurrentHashMap$Segment;
304		[S
272		[[I
251		com.gemstone.gemfire.internal.concurrent.ConcurrentHashMap5
250		java.util.concurrent.CountDownLatch$Sync
250		com.gemstone.gemfire.internal.concurrent.CountDownLatch5
250		com.gemstone.gemfire.internal.util.concurrent.StoppableCountDownLatch
226		java.util.HashMap
225		[Ljava.util.HashMap$Entry;
221		java.lang.Class
211		<constantPoolKlass>
211		<instanceKlassKlass>
187		<constantPoolCacheKlass>
180		java.lang.ThreadLocal$ThreadLocalMap$Entry
150		java.lang.Object
118		[Ljava.lang.Object;
107		java.util.concurrent.locks.ReentrantLock
105		java.util.HashSet
104		java.util.concurrent.locks.ReentrantReadWriteLock$Sync$HoldCounter
101		java.util.concurrent.ConcurrentHashMap
100		com.gemstone.gemfire.distributed.internal.locks.RemoteThread
85		java.lang.reflect.Field
79		<compiledICHolderKlass>
58		[Ljava.lang.Class;
53		java.lang.ThreadLocal
52		java.lang.ref.WeakReference
51		[Ljava.lang.String;
51		com.gemstone.gemfire.internal.concurrent.AtomicInteger5
51		com.gemstone.gemfire.distributed.internal.locks.DLockService$ThreadRequestState
50		com.gemstone.gemfire.internal.concurrent.AtomicBoolean5
50		com.gemstone.gemfire.internal.cache.EvictionAttributesImpl
50		com.gemstone.gemfire.cache.MembershipAttributes
50		java.util.LinkedList$Entry
50		com.gemstone.gemfire.cache.SubscriptionAttributes
50		java.util.concurrent.CopyOnWriteArrayList
50		com.gemstone.gemfire.internal.cache.UnsharedImageState
50		com.gemstone.gemfire.internal.cache.VMRegionMap
50		com.gemstone.gemfire.internal.cache.RegionMap$Attributes
50		com.gemstone.gemfire.internal.cache.EventTracker
50		com.gemstone.gemfire.internal.cache.LocalRegion$Stopper
50		com.gemstone.gemfire.internal.cache.DistributedRegion$AdvisorListener
50		com.gemstone.gemfire.internal.concurrent.ReentrantLock5
50		java.util.concurrent.CopyOnWriteArraySet
50		com.gemstone.gemfire.internal.util.concurrent.StoppableNonReentrantLock
50		com.gemstone.gemfire.internal.cache.LocalRegionDataView
50		com.gemstone.gemfire.distributed.internal.locks.DistributedMemberLock
50		com.gemstone.gemfire.internal.ObjIdConcurrentMap$HashEntry
50		com.gemstone.gemfire.distributed.internal.locks.DLockGrantor$DLockGrantToken
50		com.gemstone.gemfire.internal.cache.ha.ThreadIdentifier
50		com.gemstone.gemfire.internal.cache.BucketRegion
50		com.gemstone.gemfire.internal.cache.BucketAdvisor$VolunteeringDelegate
50		com.gemstone.gemfire.internal.cache.BucketAdvisor$ServerBucketProfile
50		com.gemstone.gemfire.internal.cache.EventTracker$EventSeqnoHolder
50		com.gemstone.gemfire.distributed.internal.locks.DLockToken
50		com.gemstone.gemfire.distributed.internal.AtomicLongWithTerminalState
50		com.gemstone.gemfire.internal.cache.BucketServerLocation66
49		java.util.ArrayList
49		java.util.concurrent.locks.AbstractQueuedSynchronizer$Node
44		java.lang.reflect.Method
37		com.gemstone.org.jgroups.oswego.concurrent.ConcurrentReaderHashMap$Entry
24		[J
22		com.gemstone.gemfire.internal.StatisticDescriptorImpl
22		java.util.concurrent.atomic.AtomicIntegerArray
22		java.util.concurrent.atomic.AtomicLongArray
22		com.gemstone.gemfire.internal.stats50.Atomic50StatisticsImpl$ThreadStorage
19		java.util.Vector
16		java.util.jar.Attributes$Name
15		[Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
15		java.lang.ThreadLocal$ThreadLocalMap
13		java.lang.ref.SoftReference
13		[Lcom.gemstone.org.jgroups.oswego.concurrent.ConcurrentReaderHashMap$Entry;
13		com.gemstone.org.jgroups.oswego.concurrent.ConcurrentReaderHashMap
13		com.gemstone.org.jgroups.oswego.concurrent.ConcurrentReaderHashMap$EntrySet
13		com.gemstone.org.jgroups.oswego.concurrent.ConcurrentReaderHashMap$BarrierLock
12		java.lang.reflect.Constructor
11		java.util.TreeMap$Entry
11		com.gemstone.org.jgroups.Message
11		com.gemstone.org.jgroups.protocols.pbcast.NakAckHeader
10		<objArrayKlassKlass>
10		java.util.HashMap$EntrySet
9		com.gemstone.org.jgroups.View
9		com.gemstone.org.jgroups.ViewId
9		com.gemstone.org.jgroups.protocols.VIEW_SYNC$ViewSyncHeader
7		java.nio.DirectByteBuffer
7		java.nio.DirectByteBuffer$Deallocator
6		java.lang.Thread
6		sun.misc.Cleaner
6		java.util.concurrent.ThreadPoolExecutor$Worker
5		[Ljava.util.Hashtable$Entry;
5		java.util.Hashtable
5		sun.reflect.DelegatingClassLoader
5		java.util.HashMap$KeySet
5		java.util.concurrent.SynchronousQueue$TransferStack$SNode
5		com.gemstone.gemfire.internal.cache.BucketRegion$SizeOp
4		[Ljava.lang.Thread;
4		com.gemstone.org.jgroups.protocols.pbcast.Digest$Entry
4		sun.reflect.BootstrapConstructorAccessorImpl
4		[Ljava.nio.ByteBuffer;
4		sun.nio.ch.Util$BufferCache
4		com.gemstone.gemfire.internal.cache.PartitionedRegionDataStore$CreateBucketResult
3		com.gemstone.gemfire.distributed.internal.locks.DistributedMemberLock$LockReentryPolicy
3		com.gemstone.gemfire.cache.MirrorType
3		com.gemstone.gemfire.internal.cache.PRHARedundancyProvider$ManageBucketRsp
2		java.util.Hashtable$Entry
2		java.lang.Package
2		[Lcom.gemstone.gemfire.StatisticDescriptor;
2		[Z
2		java.lang.ref.Finalizer
2		java.io.ObjectStreamField
2		com.gemstone.gemfire.internal.LogWriterImpl$LoggingThreadGroup
2		com.gemstone.gemfire.internal.StatisticsTypeImpl
2		[Ljava.io.ObjectStreamField;
2		java.util.concurrent.LinkedBlockingQueue$Node
2		java.util.concurrent.atomic.AtomicReferenceFieldUpdater$AtomicReferenceFieldUpdaterImpl
2		com.gemstone.gemfire.cache.ExpirationAttributes
2		com.gemstone.org.jgroups.oswego.concurrent.ConcurrentReaderHashMap$KeySet
2		com.gemstone.org.jgroups.protocols.pbcast.Digest
2		com.gemstone.org.jgroups.protocols.pbcast.STABLE$StableHeader
2		com.gemstone.gemfire.internal.cache.tier.sockets.AcceptorImpl$1$1
2		com.gemstone.java.util.concurrent.SynchronousQueueNoSpin$TransferStack$SNode
2		com.gemstone.gemfire.internal.cache.BucketRegion$RawValue
2		[Ljava.lang.reflect.Method;
2		[Ljava.lang.reflect.Field;
1		java.io.ObjectStreamClass
1		java.lang.Long
1		java.io.ObjectStreamClass$WeakClassKey
1		java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject
1		sun.reflect.DelegatingConstructorAccessorImpl
1		java.util.jar.Attributes
1		java.nio.HeapByteBuffer
1		java.io.ExpiringCache$Entry
1		java.util.Collections$UnmodifiableSet
1		java.util.concurrent.ThreadPoolExecutor
1		java.util.zip.Inflater
1		java.io.ObjectStreamClass$FieldReflectorKey
1		java.io.ObjectStreamClass$FieldReflector
1		[Ljava.lang.ThreadGroup;
1		java.util.concurrent.ConcurrentHashMap$Values
1		java.util.concurrent.ConcurrentHashMap$EntrySet
1		java.util.zip.ZStreamRef
1		com.gemstone.gemfire.internal.tcp.ConnectionTable$IdleConnTT
1		java.util.HashMap$Values
