Sorted by #instances in descending order.
diff of #instances	diff of #bytes	class name
------------------	--------------	----------
10828				731832			[B
10244				245856			java.util.concurrent.ConcurrentHashMap$HashEntry
10000				320000			com.gemstone.gemfire.internal.cache.VMThinRegionEntry
10000				160000			com.gemstone.gemfire.internal.cache.VMCachedDeserializable
9872				157952			java.lang.Integer
5789				138936			java.util.concurrent.locks.ReentrantLock$NonfairSync
5632				180224			java.util.concurrent.ConcurrentHashMap$Segment
5632				210472			[Ljava.util.concurrent.ConcurrentHashMap$HashEntry;
2429				122440			<symbolKlass>
1739				301136			<constMethodKlass>
1739				139120			<methodKlass>
1545				157768			[I
616					14784			java.util.HashMap$Entry
601					51456			[C
592					14208			java.lang.String
451					7216			com.gemstone.gemfire.internal.concurrent.AtomicLong5
352					28160			[Ljava.util.concurrent.ConcurrentHashMap$Segment;
304					18032			[S
272					11240			[[I
251					10040			com.gemstone.gemfire.internal.concurrent.ConcurrentHashMap5
250					6000			java.util.concurrent.CountDownLatch$Sync
250					4000			com.gemstone.gemfire.internal.concurrent.CountDownLatch5
250					4000			com.gemstone.gemfire.internal.util.concurrent.StoppableCountDownLatch
226					9040			java.util.HashMap
225					21776			[Ljava.util.HashMap$Entry;
221					21216			java.lang.Class
211					179104			<constantPoolKlass>
211					88768			<instanceKlassKlass>
187					117464			<constantPoolCacheKlass>
180					5760			java.lang.ThreadLocal$ThreadLocalMap$Entry
150					1200			java.lang.Object
118					4400			[Ljava.lang.Object;
107					1712			java.util.concurrent.locks.ReentrantLock
105					1680			java.util.HashSet
104					2496			java.util.concurrent.locks.ReentrantReadWriteLock$Sync$HoldCounter
101					4040			java.util.concurrent.ConcurrentHashMap
100					1600			com.gemstone.gemfire.distributed.internal.locks.RemoteThread
85					6120			java.lang.reflect.Field
79					1264			<compiledICHolderKlass>
58					936				[Ljava.lang.Class;
53					848				java.lang.ThreadLocal
52					1248			java.lang.ref.WeakReference
51					832				[Ljava.lang.String;
51					816				com.gemstone.gemfire.internal.concurrent.AtomicInteger5
51					816				com.gemstone.gemfire.distributed.internal.locks.DLockService$ThreadRequestState
50					800				com.gemstone.gemfire.internal.concurrent.AtomicBoolean5
50					1600			com.gemstone.gemfire.internal.cache.EvictionAttributesImpl
50					1200			com.gemstone.gemfire.cache.MembershipAttributes
50					1200			java.util.LinkedList$Entry
50					800				com.gemstone.gemfire.cache.SubscriptionAttributes
50					800				java.util.concurrent.CopyOnWriteArrayList
50					1600			com.gemstone.gemfire.internal.cache.UnsharedImageState
50					1600			com.gemstone.gemfire.internal.cache.VMRegionMap
50					1200			com.gemstone.gemfire.internal.cache.RegionMap$Attributes
50					2000			com.gemstone.gemfire.internal.cache.EventTracker
50					800				com.gemstone.gemfire.internal.cache.LocalRegion$Stopper
50					1200			com.gemstone.gemfire.internal.cache.DistributedRegion$AdvisorListener
50					800				com.gemstone.gemfire.internal.concurrent.ReentrantLock5
50					800				java.util.concurrent.CopyOnWriteArraySet
50					800				com.gemstone.gemfire.internal.util.concurrent.StoppableNonReentrantLock
50					400				com.gemstone.gemfire.internal.cache.LocalRegionDataView
50					1600			com.gemstone.gemfire.distributed.internal.locks.DistributedMemberLock
50					1200			com.gemstone.gemfire.internal.ObjIdConcurrentMap$HashEntry
50					2800			com.gemstone.gemfire.distributed.internal.locks.DLockGrantor$DLockGrantToken
50					1200			com.gemstone.gemfire.internal.cache.ha.ThreadIdentifier
50					21600			com.gemstone.gemfire.internal.cache.BucketRegion
50					1200			com.gemstone.gemfire.internal.cache.BucketAdvisor$VolunteeringDelegate
50					4000			com.gemstone.gemfire.internal.cache.BucketAdvisor$ServerBucketProfile
50					1600			com.gemstone.gemfire.internal.cache.EventTracker$EventSeqnoHolder
50					2800			com.gemstone.gemfire.distributed.internal.locks.DLockToken
50					800				com.gemstone.gemfire.distributed.internal.AtomicLongWithTerminalState
50					2000			com.gemstone.gemfire.internal.cache.BucketServerLocation66
49					1176			java.util.ArrayList
49					1568			java.util.concurrent.locks.AbstractQueuedSynchronizer$Node
44					3520			java.lang.reflect.Method
37					888				com.gemstone.org.jgroups.oswego.concurrent.ConcurrentReaderHashMap$Entry
24					8960			[J
22					704				com.gemstone.gemfire.internal.StatisticDescriptorImpl
22					352				java.util.concurrent.atomic.AtomicIntegerArray
22					352				java.util.concurrent.atomic.AtomicLongArray
22					528				com.gemstone.gemfire.internal.stats50.Atomic50StatisticsImpl$ThreadStorage
19					456				java.util.Vector
16					256				java.util.jar.Attributes$Name
15					2160			[Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
15					360				java.lang.ThreadLocal$ThreadLocalMap
13					416				java.lang.ref.SoftReference
13					592				[Lcom.gemstone.org.jgroups.oswego.concurrent.ConcurrentReaderHashMap$Entry;
13					728				com.gemstone.org.jgroups.oswego.concurrent.ConcurrentReaderHashMap
13					208				com.gemstone.org.jgroups.oswego.concurrent.ConcurrentReaderHashMap$EntrySet
13					104				com.gemstone.org.jgroups.oswego.concurrent.ConcurrentReaderHashMap$BarrierLock
12					768				java.lang.reflect.Constructor
11					352				java.util.TreeMap$Entry
11					616				com.gemstone.org.jgroups.Message
11					352				com.gemstone.org.jgroups.protocols.pbcast.NakAckHeader
10					3280			<objArrayKlassKlass>
10					160				java.util.HashMap$EntrySet
9					288				com.gemstone.org.jgroups.View
9					216				com.gemstone.org.jgroups.ViewId
9					144				com.gemstone.org.jgroups.protocols.VIEW_SYNC$ViewSyncHeader
7					392				java.nio.DirectByteBuffer
7					168				java.nio.DirectByteBuffer$Deallocator
6					672				java.lang.Thread
6					240				sun.misc.Cleaner
6					192				java.util.concurrent.ThreadPoolExecutor$Worker
5					280				[Ljava.util.Hashtable$Entry;
5					200				java.util.Hashtable
5					280				sun.reflect.DelegatingClassLoader
5					80				java.util.HashMap$KeySet
5					160				java.util.concurrent.SynchronousQueue$TransferStack$SNode
5					80				com.gemstone.gemfire.internal.cache.BucketRegion$SizeOp
4					128				[Ljava.lang.Thread;
4					128				com.gemstone.org.jgroups.protocols.pbcast.Digest$Entry
4					64				sun.reflect.BootstrapConstructorAccessorImpl
4					320				[Ljava.nio.ByteBuffer;
4					96				sun.nio.ch.Util$BufferCache
4					96				com.gemstone.gemfire.internal.cache.PartitionedRegionDataStore$CreateBucketResult
3					48				com.gemstone.gemfire.distributed.internal.locks.DistributedMemberLock$LockReentryPolicy
3					72				com.gemstone.gemfire.cache.MirrorType
3					48				com.gemstone.gemfire.internal.cache.PRHARedundancyProvider$ManageBucketRsp
2					48				java.util.Hashtable$Entry
2					96				java.lang.Package
2					112				[Lcom.gemstone.gemfire.StatisticDescriptor;
2					112				[Z
2					64				java.lang.ref.Finalizer
2					64				java.io.ObjectStreamField
2					128				com.gemstone.gemfire.internal.LogWriterImpl$LoggingThreadGroup
2					80				com.gemstone.gemfire.internal.StatisticsTypeImpl
2					32				[Ljava.io.ObjectStreamField;
2					32				java.util.concurrent.LinkedBlockingQueue$Node
2					64				java.util.concurrent.atomic.AtomicReferenceFieldUpdater$AtomicReferenceFieldUpdaterImpl
2					32				com.gemstone.gemfire.cache.ExpirationAttributes
2					32				com.gemstone.org.jgroups.oswego.concurrent.ConcurrentReaderHashMap$KeySet
2					32				com.gemstone.org.jgroups.protocols.pbcast.Digest
